name,faculty,course,company,job
Emily Murphy,"Food, Chemical and Biotechnology",N/A,PepsiCo,Product Development
Spencer Ong,"Food, Chemical and Biotechnology",N/A,PepsiCo,Intern Quality Assurance
Noah Heng,"Food, Chemical and Biotechnology",N/A,Nestle,Food Scientist
Reese Reese,Infocomm Technology,N/A,Microsoft,Business Analyst
Hayden Sanders,"Food, Chemical and Biotechnology",N/A,PepsiCo,Product Development
Charlotte Lane,"Food, Chemical and Biotechnology",N/A,PepsiCo,Product Development
Leslie Heng,Infocomm Technology,N/A,Google,Software Engineer
Jack Wiley,Infocomm Technology,N/A,Google,Data Analyst
Jamie Phua,Infocomm Technology,N/A,Google,Software Engineer
Jason Quek,"Food, Chemical and Biotechnology",N/A,Nestle,Research Analyst
Elijah Porter,"Food, Chemical and Biotechnology",N/A,Nestle,Intern Quality Control
Oliver Webb,"Food, Chemical and Biotechnology",N/A,Nestle,Intern Quality Control
Skyler Choo,Infocomm Technology,N/A,Microsoft,Project Manager
Terry Frost,Infocomm Technology,N/A,Microsoft,Business Analyst
Kendall Chong,Infocomm Technology,N/A,Microsoft,Business Analyst
Mia Sia,"Food, Chemical and Biotechnology",N/A,PepsiCo,Food Technician
Lucas Chen,"Food, Chemical and Biotechnology",N/A,PepsiCo,Intern Quality Assurance
Quinn Chan,"Food, Chemical and Biotechnology",N/A,Nestle,Intern Quality Control
David Wallace,Infocomm Technology,N/A,Microsoft,Business Analyst
Lily Parker,"Food, Chemical and Biotechnology",N/A,Nestle,Research Analyst
Robin Simmons,"Food, Chemical and Biotechnology",N/A,Nestle,Research Analyst
Riley Ong,"Food, Chemical and Biotechnology",N/A,Nestle,Research Analyst
Zoe Winters,"Food, Chemical and Biotechnology",N/A,PepsiCo,Food Technician
Oliver Cheong,"Food, Chemical and Biotechnology",N/A,Nestle,Research Analyst
Mia Bailey,"Food, Chemical and Biotechnology",N/A,PepsiCo,Food Technician
